DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-14 22:14:04,0.5,6.25,24.58,102.82,205.64
2023-11-14 22:14:45,0.5,6.27,24.49,103.0,206.01
2023-11-14 22:15:26,0.5,6.3,24.4,103.19,206.38
2023-11-14 22:16:08,0.5,6.27,24.53,102.91,205.82
2023-11-14 22:16:48,0.5,6.3,24.53,102.91,205.82
2023-11-14 22:17:29,0.5,6.28,24.64,102.68,205.36
2023-11-14 22:18:10,0.5,6.3,24.58,102.82,205.64
2023-11-14 22:18:52,0.5,6.27,24.45,103.1,206.2
2023-11-14 22:19:33,0.5,6.35,24.87,102.23,204.46
2023-11-14 22:20:14,0.5,6.29,24.76,102.45,204.9
2023-11-14 22:20:55,0.5,6.35,24.89,102.48,204.97
2023-11-14 22:21:36,0.5,6.33,24.69,103.5,207.0
2023-11-14 22:22:18,0.5,6.36,24.69,102.89,205.79
2023-11-14 22:23:00,0.5,6.37,24.49,103.93,207.86
2023-11-14 22:23:40,0.5,6.37,24.89,102.78,205.57
2023-11-14 22:24:21,0.5,6.32,24.8,103.27,206.55
2023-11-14 22:25:02,0.5,6.39,24.96,102.34,204.69
2023-11-14 22:25:43,0.5,6.32,24.73,103.41,206.83
2023-11-14 22:26:25,0.5,6.42,24.8,103.28,206.57
2023-11-14 22:27:06,0.5,6.39,25.05,102.47,204.93
2023-11-14 22:27:47,0.5,6.4,24.76,103.37,206.73
2023-11-14 22:28:28,0.5,6.41,24.82,103.53,207.06
2023-11-14 22:29:09,0.5,6.36,24.91,103.04,206.09
2023-11-14 22:29:50,0.5,6.4,25.09,102.98,205.97
2023-11-14 22:30:31,0.5,6.39,24.8,103.27,206.55
2023-11-14 22:31:13,0.5,6.38,24.71,103.46,206.92
2023-11-14 22:31:53,0.5,6.41,25.0,103.16,206.33
2023-11-14 22:32:35,0.5,6.4,25.11,102.93,205.87
2023-11-14 22:33:16,0.5,6.41,24.91,103.35,206.7
2023-11-14 22:33:57,0.5,6.44,24.87,103.44,206.88
2023-11-14 22:34:38,0.5,6.5,25.34,102.48,204.95
2023-11-14 22:35:20,0.5,6.4,25.22,102.71,205.42
2023-11-14 22:36:01,0.5,6.46,25.65,101.89,203.77
2023-11-14 22:36:41,0.5,6.43,25.2,102.75,205.5
2023-11-14 22:37:23,0.5,6.48,25.07,103.33,206.66
2023-11-14 22:38:04,0.5,6.44,25.27,102.61,205.23
2023-11-14 22:38:45,0.5,6.45,25.18,102.8,205.6
2023-11-14 22:39:26,0.5,6.54,25.27,102.61,205.22
2023-11-14 22:40:08,0.5,6.49,25.2,102.75,205.5
2023-11-14 22:40:48,0.5,6.46,25.33,102.48,204.96
2023-11-14 22:41:29,0.5,6.47,25.22,102.7,205.41
2023-11-14 22:42:10,0.5,6.52,25.47,102.21,204.41
2023-11-14 22:42:52,0.5,6.47,25.69,101.77,203.55
2023-11-14 22:43:33,0.5,6.45,25.18,102.8,205.59
2023-11-14 22:44:14,0.5,6.52,25.16,102.84,205.68
2023-11-14 22:44:55,0.5,6.49,25.58,101.98,203.96
2023-11-14 22:45:37,0.5,6.52,25.31,102.52,205.04
2023-11-14 22:46:26,0.5,6.53,25.47,102.2,204.41
2023-11-14 22:47:09,0.5,6.53,25.14,102.89,205.78
2023-11-14 22:47:50,0.5,6.55,25.38,102.38,204.77
2023-11-14 22:48:31,0.5,6.52,25.58,102.28,204.55
2023-11-14 22:49:12,0.5,6.58,25.78,102.48,204.96
2023-11-14 22:49:53,0.5,6.53,25.45,102.25,204.5
2023-11-14 22:50:34,0.5,6.57,25.45,102.85,205.7
2023-11-14 22:51:15,0.5,6.57,25.42,102.89,205.79
2023-11-14 22:51:57,0.5,6.58,25.67,102.4,204.8
2023-11-14 22:52:39,0.5,6.59,25.69,101.76,203.51
2023-11-14 22:53:19,0.5,6.62,25.67,102.99,205.99
2023-11-14 22:54:06,0.5,6.64,25.67,101.8,203.6
2023-11-14 22:54:52,0.5,6.58,25.51,102.72,205.44
2023-11-14 22:55:33,0.5,6.61,25.49,102.76,205.52
2023-11-14 22:56:14,0.5,6.58,25.98,101.78,203.56
2023-11-14 22:56:55,0.5,6.62,25.49,103.06,206.13
2023-11-14 22:57:36,0.5,6.58,25.71,102.81,204.62
2023-11-14 22:58:17,0.5,6.61,25.4,102.31,207.09
2023-11-14 22:59:00,0.5,6.61,25.69,103.54,205.9
2023-11-14 23:00:02,0.5,6.6,24.92,102.95,209.24
2023-11-14 23:00:41,0.5,6.61,25.65,104.62,206.08
2023-11-14 23:01:22,0.5,6.62,25.76,103.04,205.63
2023-11-14 23:02:04,0.5,6.58,25.71,102.81,205.81
2023-11-14 23:02:45,0.5,6.67,26.21,102.9,203.87
2023-11-14 23:03:26,0.5,6.61,25.74,101.94,205.72
2023-11-14 23:04:07,0.5,6.62,25.94,102.86,204.91
2023-11-14 23:04:48,0.5,6.66,25.76,102.46,205.64
2023-11-14 23:05:30,0.5,6.66,26.12,102.82,204.2
2023-11-14 23:06:10,0.5,6.63,25.71,102.1,205.81
2023-11-14 23:06:51,0.5,6.6,24.83,102.9,209.74
2023-11-14 23:07:33,0.5,6.66,25.8,104.87,205.44
2023-11-14 23:08:14,0.5,6.63,25.4,102.72,207.1
2023-11-14 23:08:55,0.5,6.71,25.6,103.55,206.27
2023-11-14 23:09:36,0.5,6.64,26.12,103.13,204.21
2023-11-14 23:10:18,0.5,6.67,26.01,102.1,204.63
2023-11-14 23:10:59,0.5,6.66,26.19,102.31,203.93
2023-11-14 23:11:39,0.5,6.68,25.83,101.96,205.35
2023-11-14 23:12:20,0.5,6.71,25.69,102.68,205.9
2023-11-14 23:13:01,0.5,6.74,26.05,102.95,204.45
2023-11-14 23:13:43,0.5,6.69,25.96,102.23,204.81
2023-11-14 23:14:24,0.5,6.7,26.01,102.4,204.63
2023-11-14 23:15:06,0.5,6.72,26.03,102.32,204.54
2023-11-14 23:15:46,0.5,6.7,26.37,102.27,203.24
2023-11-14 23:16:28,0.5,6.71,25.98,101.62,204.72
2023-11-14 23:17:08,0.5,6.74,25.92,102.36,204.99
2023-11-14 23:17:49,0.5,6.7,25.98,102.5,204.72
